,idx,energy,cnt_yellow_thr_105,variance_105,cnt_yellow_thr_120,variance_120
0,0,6,169,62,0,0
1,1,6,164,67,0,0
2,10,6,105,37,0,0
3,16,6,67,22,0,0
4,17,6,167,57,0,0
5,18,6,177,70,0,0
6,23,6,223,89,0,0
7,25,6,182,80,0,0
8,26,6,98,37,0,0
9,27,6,212,81,0,0
10,28,6,132,46,0,0
11,29,6,147,52,0,0
12,32,6,203,105,0,0
13,35,6,169,65,0,0
14,38,6,124,45,0,0
15,41,6,143,50,0,0
16,43,6,124,48,0,0
17,44,6,147,48,0,0
18,50,6,196,82,0,0
19,53,6,127,55,0,0
20,54,6,133,54,0,0
21,55,6,178,69,0,0
22,56,6,125,46,0,0
23,63,6,129,49,0,0
24,64,6,174,68,0,0
25,68,6,109,43,0,0
26,69,6,123,44,0,0
27,70,6,155,66,0,0
28,77,6,178,70,0,0
29,79,6,176,65,0,0
30,80,6,175,68,0,0
31,81,6,124,45,0,0
32,84,6,170,77,0,0
33,85,6,201,89,0,0
34,88,6,155,66,0,0
35,90,6,149,56,0,0
36,91,6,128,42,0,0
37,92,6,100,33,0,0
38,94,6,108,44,0,0
39,96,6,149,59,0,0
40,97,6,137,50,0,0
41,98,6,171,71,0,0
42,102,6,126,45,0,0
43,103,6,87,41,0,0
44,104,6,52,14,0,0
45,105,6,170,66,0,0
46,113,6,143,53,0,0
47,121,6,133,49,0,0
48,125,6,202,78,0,0
49,127,6,90,32,0,0
50,129,6,162,58,0,0
51,130,6,105,37,0,0
52,131,6,189,71,0,0
53,132,6,127,49,0,0
54,134,6,170,66,0,0
55,138,6,175,65,0,0
56,141,6,184,69,0,0
57,142,6,183,73,0,0
58,144,6,174,61,0,0
59,145,6,121,44,0,0
60,147,6,129,52,0,0
61,151,6,185,79,0,0
62,152,6,109,48,0,0
63,154,6,132,50,0,0
64,157,6,193,72,0,0
65,160,6,135,53,0,0
66,166,6,134,50,0,0
67,172,6,179,65,0,0
68,173,6,182,76,0,0
69,177,6,132,51,0,0
70,181,6,174,64,0,0
71,193,6,145,50,0,0
72,195,6,207,86,0,0
73,196,6,173,74,0,0
74,199,6,177,71,0,0
75,201,6,170,60,0,0
76,209,6,100,61,0,0
77,213,6,173,62,0,0
78,223,6,179,67,0,0
79,230,6,186,74,0,0
80,232,6,120,40,0,0
81,235,6,112,39,0,0
82,238,6,130,46,0,0
83,243,6,171,67,0,0
84,245,6,88,41,0,0
85,247,6,116,42,0,0
86,249,6,149,67,0,0
87,251,6,175,71,0,0
88,255,6,130,53,0,0
89,260,6,85,31,0,0
90,263,6,128,49,0,0
91,268,6,218,84,0,0
92,275,6,72,26,0,0
93,276,6,175,73,0,0
94,278,6,134,48,0,0
95,280,6,144,48,0,0
96,281,6,165,72,0,0
97,291,6,120,40,0,0
98,298,6,139,56,0,0
99,299,6,57,28,0,0
100,304,6,122,41,0,0
101,305,6,132,58,0,0
102,308,6,221,84,0,0
103,310,6,165,58,0,0
104,311,6,157,60,0,0
105,319,6,195,78,0,0
106,324,6,149,61,0,0
107,327,6,168,60,0,0
108,328,6,99,35,0,0
109,329,6,154,58,0,0
110,331,6,190,73,0,0
111,338,6,186,79,0,0
112,345,6,143,59,0,0
113,346,6,178,74,0,0
114,350,6,199,75,0,0
115,351,6,102,37,0,0
116,352,6,153,67,0,0
